UNIT,STATION,NET
R540,PATH NEW WTC,372601.8333333333
R033,Times Sq - 42nd St,164913.66666666666
R012,34th St - Penn Station,156291.0
R461,Broadway - Lafayette St,150385.0
R551,GROVE STREET,124164.16666666667
R552,JOURNAL SQUARE,123128.83333333333
R546,PAVONIA/NEWPORT,120613.83333333333
R131,23rd St,117355.16666666667
R170,Union Sq - 14th St,92572.33333333333
R462,Canal St,91950.66666666667
R029,World Trade Center,86199.5
R550,CITY / BUS,83108.83333333333
R014,Fulton St,79113.5
R536,Jamaica Ctr - Parsons / Archer,74775.33333333333
R549,NEWARK BM BW,74252.16666666667
R057,Atlantic Av - Barclay's Center,72542.5
R022,Herald Sq - 34th St,71381.66666666667
R072,34th St - Hudson Yards,68575.0
R305,Cortlandt St,68155.5
R543,EXCHANGE PLACE,65612.33333333333
R550,LACKAWANNA,64212.166666666664
R047,Grand Central - 42nd St,61206.333333333336
R088,Cortlandt St,60873.666666666664
R541,33rd St,59647.833333333336
R293,34th St - Penn Station,59587.333333333336